classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
resnet,UCRArchive_2018,ACSF1,0.0,0.9306313131313132,0.93,0.93,560.626814365387
resnet,UCRArchive_2018,Adiac,0.0,0.8570804482569191,0.8516624040920716,0.8558638433638434,1492.3728911876678
resnet,UCRArchive_2018,AllGestureWiimoteX,0.0,0.7452554325336409,0.7485714285714286,0.7485714285714287,1644.5146384239195
resnet,UCRArchive_2018,AllGestureWiimoteY,0.0,0.7851541881851443,0.7842857142857143,0.7842857142857143,1124.0082919597626
resnet,UCRArchive_2018,AllGestureWiimoteZ,0.0,0.7162608094670343,0.7128571428571429,0.7128571428571429,1061.8164715766907
resnet,UCRArchive_2018,ArrowHead,0.0,0.8628505165507064,0.8628571428571429,0.8665572873940389,867.254608631134
resnet,UCRArchive_2018,Beef,0.0,0.7416666666666666,0.7333333333333333,0.7333333333333334,536.378143787384
resnet,UCRArchive_2018,BeetleFly,0.0,0.8846153846153846,0.85,0.85,427.13316822052
resnet,UCRArchive_2018,BirdChicken,0.0,0.9545454545454546,0.95,0.95,501.4971785545349
resnet,UCRArchive_2018,BME,0.0,1.0,1.0,1.0,704.8364164829254
resnet,UCRArchive_2018,Car,0.0,0.9107142857142856,0.9,0.8967611336032388,690.9040567874907
resnet,UCRArchive_2018,CBF,0.0,0.992327795749036,0.9922222222222222,0.9922663723325976,2666.920580148697
resnet,UCRArchive_2018,Chinatown,0.0,0.9629423868312758,0.97667638483965,0.9806246261642314,2486.207121610641
resnet,UCRArchive_2018,ChlorineConcentration,0.0,0.8276661602923072,0.8458333333333333,0.8182894576019736,2614.3834416866307
resnet,UCRArchive_2018,CinCECGTorso,0.0,0.8216803522816862,0.8152173913043478,0.8152029845391354,3076.4832208156586
resnet,UCRArchive_2018,Coffee,0.0,1.0,1.0,1.0,704.5889749526978
resnet,UCRArchive_2018,Computers,0.0,0.7947161036108779,0.792,0.792,1158.6930723190308
resnet,UCRArchive_2018,CricketX,0.0,0.8167425785335731,0.8102564102564103,0.8186976701135952,1058.1540699005127
resnet,UCRArchive_2018,CricketY,0.0,0.8226030018368728,0.823076923076923,0.8255552028992085,1097.6770226955414
resnet,UCRArchive_2018,CricketZ,0.0,0.7982920143724144,0.8,0.7927523073657775,1103.032529592514
resnet,UCRArchive_2018,Crop,0.0,0.7353319201802994,0.7427380952380952,0.7427380952380953,23504.158657312397
resnet,UCRArchive_2018,DiatomSizeReduction,0.0,0.07516339869281045,0.3006535947712418,0.25,3136.6404485702515
resnet,UCRArchive_2018,DistalPhalanxOutlineAgeGroup,0.0,0.7564000814000814,0.7625899280575541,0.7898015355642475,1085.7040033340454
resnet,UCRArchive_2018,DistalPhalanxOutlineCorrect,0.0,0.7667591564927858,0.7717391304347826,0.7596273291925466,1652.9170751571655
resnet,UCRArchive_2018,DistalPhalanxTW,0.0,0.5000642388800284,0.6546762589928058,0.5109515241094188,1112.3947374820712
resnet,UCRArchive_2018,DodgerLoopDay,0.0,0.021428571428571432,0.15,0.14285714285714285,521.1015169620514
resnet,UCRArchive_2018,DodgerLoopGame,0.0,0.6909722222222223,0.6666666666666666,0.6736111111111112,1341.3878283500674
resnet,UCRArchive_2018,DodgerLoopWeekend,0.0,0.9495584693604496,0.9637681159420288,0.9575163398692809,854.5996792316437
resnet,UCRArchive_2018,Earthquakes,0.0,0.4534120734908136,0.6906474820143885,0.4804945054945055,811.328446149826
resnet,UCRArchive_2018,ECG200,0.0,0.8936418887330528,0.89,0.8654513888888888,699.669207572937
resnet,UCRArchive_2018,ECG5000,0.0,0.6765607275732879,0.9335555555555556,0.5750644673681587,4325.978051900865
resnet,UCRArchive_2018,ECGFiveDays,0.0,0.9930875576036866,0.9930313588850174,0.9930715935334872,3405.374997377396
resnet,UCRArchive_2018,ElectricDevices,0.0,0.7028819906998274,0.7314226429775645,0.6419196724409115,22626.877151966095
resnet,UCRArchive_2018,EOGHorizontalSignal,0.0,0.6587185242847013,0.6132596685082873,0.6146520825608701,1433.3817391395569
resnet,UCRArchive_2018,EOGVerticalSignal,0.0,0.4434020925240021,0.43922651933701656,0.4408354962303794,1429.5572717189789
resnet,UCRArchive_2018,EthanolLevel,0.0,0.7974012352090079,0.79,0.7896185355862776,2389.3751366138463
resnet,UCRArchive_2018,FaceAll,0.0,0.8711128801046194,0.8284023668639053,0.9158596799532336,2594.435804128647
resnet,UCRArchive_2018,FaceFour,0.0,0.9666666666666668,0.9545454545454546,0.958041958041958,846.993766784668
resnet,UCRArchive_2018,FacesUCR,0.0,0.94758100347399,0.9556097560975608,0.9299860859009552,1931.092054605484
resnet,UCRArchive_2018,FiftyWords,0.0,0.6489128838296548,0.756043956043956,0.6368544859509256,1946.9945616722107
resnet,UCRArchive_2018,Fish,0.0,0.9764285714285714,0.9771428571428572,0.9783051841426226,531.6845562458038
resnet,UCRArchive_2018,FordA,0.0,0.930918484500574,0.9310606060606059,0.9312561615409541,8473.65984916687
resnet,UCRArchive_2018,FordB,0.0,0.8172804273457366,0.817283950617284,0.8172417367339597,8686.270675420761
resnet,UCRArchive_2018,FreezerRegularTrain,0.0,0.9989476141324046,0.9989473684210526,0.9989473684210526,1743.0509028434753
resnet,UCRArchive_2018,FreezerSmallTrain,0.0,0.781543427230047,0.7126315789473684,0.7126315789473684,10251.705896139145
resnet,UCRArchive_2018,Fungi,0.0,0.11656557351001795,0.2849462365591398,0.2435254803675856,2075.9455687999725
resnet,UCRArchive_2018,GestureMidAirD1,0.0,0.7047008547008548,0.6846153846153846,0.6846153846153846,541.8173422813417
resnet,UCRArchive_2018,GestureMidAirD2,0.0,0.6972527472527472,0.676923076923077,0.676923076923077,545.8696084022522
resnet,UCRArchive_2018,GestureMidAirD3,0.0,0.3580344868806407,0.3461538461538461,0.3461538461538461,879.7171316146851
resnet,UCRArchive_2018,GesturePebbleZ1,0.0,0.9081081081081082,0.8837209302325582,0.8830667820211758,507.0767843723297
resnet,UCRArchive_2018,GesturePebbleZ2,0.0,0.8219825624395517,0.810126582278481,0.8042221475842165,509.2859652042389
resnet,UCRArchive_2018,GunPoint,0.0,0.9935064935064934,0.9933333333333332,0.9932432432432432,929.1159448623656
resnet,UCRArchive_2018,GunPointAgeSpan,0.0,0.9968152866242038,0.9968354430379748,0.996875,590.2491204738618
resnet,UCRArchive_2018,GunPointMaleVersusFemale,0.0,0.9903471804134056,0.9905063291139241,0.9906425702811243,582.5380444526672
resnet,UCRArchive_2018,GunPointOldVersusYoung,0.0,0.987639585693478,0.9873015873015872,0.9869696969696968,928.734822511673
